1,happy,disgust,fear,surprise,anger,sadness,arousal,valence,2,happy,disgust,fear,surprise,anger,sadness,arousal,valence,3,happy,disgust,fear,surprise,anger,sadness,arousal,valence,4,happy,disgust,fear,surprise,anger,sadness,arousal,valence,5,happy,disgust,fear,surprise,anger,sadness,arousal,valence,6,happy,disgust,fear,surprise,anger,sadness,arousal,valence,other
96,1.5,0,0,0,0,0,0.5,0.5,96,0,1.5,0.5,0,0,0.5,0,-0.5,96,0,1,1.5,0,0,0,0.5,-0.5,96,0,0,0,2,0,0,1,0.5,96,0,0,0,0,0,1,0,-0.5,96,0,0,0,0,1.5,0.5,0,-1,0
97,1.5,0,0,0,0,0,1,1,97,0,0,0,0,0,0,0,0,97,0,0,1.5,0,0,0,1,0,97,1,0,0,0,0,0,0.5,1,97,0,0,0,0,0,1,-0.5,-0.5,97,0,0,0,0,0,0,0,0,0
98,1,0,0,0,0,0,0.5,1,98,0,1,0,0,1.5,0,0,-1,98,0,0.5,0.5,0,0.5,0.5,0.5,-1,98,0,0,0,1.5,0,0,0.5,0,98,0,0,0,0,0,1.5,-0.5,-1,98,0,0,0,0,1.5,1,0,-1,0
101,2,0,0,0,0,0,1,1,101,0,1,0,0,0,0.5,0,-1,101,0,0,1,0,0,0,0.5,-0.5,101,0,0,0,0,0,0,0,0,101,0,0.5,0,0,0.5,1,0,-0.5,101,0,0,0,0,1,1.5,0,-1,0
102,1.5,0,0,0,0,0,1,1,102,0,1,0,0,0,0.5,0,-0.5,102,0,0,1.5,0,0,0,1,0,102,0,0,0.5,0.5,0,0,0.5,0,102,0,0,0,0,0,1,0,-0.5,102,0,0,0,0,0.5,0.5,0,-0.5,0
103,1.5,0,0,0,0,0,1,1,103,0,1.5,0,0,0.5,0,0,-1,103,0,0,1.5,0,0,0,0.5,0,103,0,0,0,1.5,0,0,0.5,0.5,103,0,0,0,0,0,1.5,0,-0.5,103,0,0,0,0,1.5,0,0,-1,0
104,2,0,0,0,0,0,1,1,104,0,1,1,0,0,0,0.5,0,104,0,0.5,1.5,0,0,0,0.5,0,104,0.5,0,1,1.5,0,0,0.5,0.5,104,0,0,0,0,0.5,1,0,-1,104,0,0.5,0,0,1.5,0.5,0,-1,0
105,1.5,0,0,0,0,0,1,1,105,0,1,0,0,0,0,0,-0.5,105,0,0,1.5,0,0,0,0.5,-0.5,105,0.5,0,0,1,0,0,0.5,0.5,105,0,0,0,0,0.5,1.5,-0.5,-1,105,0,0,0,0,1.5,0,0,-1,0
107,2,0,0,0,0,0,1,1,107,0,2,0,0,0,0,0.5,-0.5,107,0,0,1,0,1,0,0.5,0,107,0,0,0,1.5,0,0,0.5,0.5,107,0,0,0,0,0,1.5,0,-0.5,107,0,0,0,0.5,2,0,0,-1,0
108,1.5,0,0,0,0,0,1,1,108,0,1,0,0,0.5,0.5,0.5,0,108,0,0,1.5,0,0,0,1,0,108,0.5,0,0,1.5,0,0,1,1,108,0,0,0,0,0,1,0,-0.5,108,0,0.5,0,0,1.5,0,0,-1,anxiety
109,1,0,0,0,0,0,0.5,1,109,0.5,0.5,0,0,0,0,0.5,0.5,109,0,0,1.5,0,0,0,1,0,109,1,0,0,0.5,0,0,1,1,109,0,0,0,0,0,1,0,-0.5,109,0,0.5,0,0,1,0,0,-1,0
111,1.5,0,0,0,0,0,0.5,1,111,0,1.5,0,0,0.5,0,0.5,-0.5,111,0,0,1,0,0.5,0.5,0.5,0,111,0,0,0.5,1.5,0,0,0.5,0,111,0,0,0,0,0,1,0,-0.5,111,0,0.5,0,0,1.5,0.5,0.5,-1,0
113,1,0,0,0,0,0,0.5,1,113,0,1,0,0,0.5,0,0.5,0,113,0,0,1,0,0,0,1,0,113,0,0,0,1.5,0,0,0.5,0,113,0,0,0,0,0,0.5,0,-0.5,113,0,0,0,0,1,0,0,0,0
114,2,0,0,0,0,0,1,1,114,0,1,0,0,0.5,1,0.5,-0.5,114,0,0,1,0,0,0.5,0.5,0,114,0,0,0,1,0,0,0.5,0,114,0,0,0,0,0,1,0,-0.5,114,0,0,0,0,1.5,0.5,0,-0.5,0
116,2,0,0,0.5,0,0,1,1,116,0,1,0,0,1,1,0.5,-1,116,0,0,0.5,0,0,0,0.5,0,116,0,0,0,1,0,0,0.5,0,116,0,0,0,0,0.5,1.5,0,-1,116,0,0,0,0,1.5,1,0,-1,0
117,2,0,0,1,0,0,1,1,117,0,1,0.5,0,0,0,1,0,117,0,0.5,1.5,0,0,0,1,0,117,0,0,0,2,0,0,1,0,117,0,0,0,0,0,2,0,-0.5,117,0,0,0,0,1.5,1,0,-1,0
118,1,0,0,1,0,0,0.5,1,118,0,1.5,0,0,0,0,0.5,-0.5,118,0.5,0.5,2,0,0,0,1,0.5,118,0,0,0.5,1.5,0,0,0.5,0,118,0,0,0,0.5,0,1.5,0.5,-0.5,118,0,0,0,0,1,0.5,0,-0.5,0
119,1,0,0,0.5,0,0,0.5,0.5,119,0,1,0,0,0,0,0.5,0,119,0,0,1,0,0,0,0.5,0,119,0,0,0,0.5,0,0,0.5,0,119,0,0,0,0,0,1,0,-0.5,119,0,0,0,0,0,1,0,-0.5,0
120,2,0,0,0,0,0,1,1,120,0,1,0.333333333,0.333333333,0,0,1,-0.666666667,120,0,0.333333333,2,0,0,0,1,-1,120,0.333333333,0,0,2,0,0,1,0.666666667,120,0,0,0,0,0.333333333,1,0.666666667,-1,120,0,0,0,0,1.666666667,0.666666667,1,-1,
121,2,0,0,0,0,0,1,1,121,0,2,0,0,0,0,1,-1,121,0,0,1.666666667,0,0,0,1,-0.666666667,121,0.333333333,0,0,1.333333333,0,0,0.666666667,0.333333333,121,0,0,0,0,0,1.333333333,0,-1,121,0,0.333333333,0,0,1,0.666666667,1,-1,
122,,,,,,,,,122,,,,,,,,,122,,,,,,,,,122,,,,,,,,,122,,,,,,,,,122,,,,,,,,,
123,2,0,0,0,0,0,1,1,123,0,2,0,0,0.333333333,0,1,-1,123,0,0,2,0.333333333,0,0,1,-1,123,0,0,0,1.333333333,0,0,1,0,123,0,0,0,0,0.333333333,1.666666667,1,-1,123,0,0.666666667,0.666666667,0,1,0,1,-1,
124,1.333333333,0,0,0,0,0,0.666666667,1,124,0,1.333333333,0,0,0.333333333,0,1,-1,124,,,,,,,,,124,0,0,0,1,0,0,1,0,124,0,0,0,0,0,1,0,-0.333333333,124,0,0,0,0,1,0,0.666666667,-1,
125,2,0,0,0,0,0,1,1,125,0,1.666666667,0,0,0,0,1,-1,125,0,0,2,0,0,0,1,-0.666666667,125,0,0,0,1.333333333,0,0,1,0,125,0,0,0,0,0,2,-0.666666667,-1,125,0,0,0,0,2,0,1,-1,
126,2,0,0,0,0,0,1,1,126,0,1.666666667,0,0,0.333333333,0,1,-1,126,0,0,2,0,0,0,1,-1,126,0.333333333,0,0,1.333333333,0,0,1,0.333333333,126,0,0,0,0,0,1.666666667,-0.666666667,-1,126,0,0.333333333,0,0,1,0,0.666666667,-1,
127,2,0,0,0,0,0,1,1,127,0,1.666666667,0,0,0,0,1,-1,127,0,0,2,0,0,0,1,-1,127,0,2,0,0,0.333333333,0,1,-1,127,0,0,0,0,0,1,-0.666666667,-1,127,0,0,0,0,1,0,0.666666667,-1,
128,2,0,0,0,0,0,1,1,128,0,2,0,0,0.333333333,0,1,-1,128,0,0,2,0,0,0,1,-1,128,0,0,0,1.666666667,0,0,1,0,128,0,0,0,0,0,1.666666667,-0.666666667,-1,128,0,0,0,0,1,0,0.666666667,-1,
129,2,0,0,0.333333333,0,0,1,1,129,0,2,0,0.333333333,0,0,1,-1,129,0,0,2,0,0,0,1,-0.666666667,129,0.333333333,0,0,2,0,0,1,0,129,0,0,0,0,0.333333333,2,-0.666666667,-1,129,0,0,0,0,2,0,1,-1,
133,2,0,0,0,0,0,1,1,133,0,0.333333333,0,0,0,0,0,-0.333333333,133,0,0,2,0,0,0,1,-1,133,1,0,0,1.666666667,0,0,1,1,133,0,0,0,0,0,2,-0.666666667,-1,133,0,0,0,0,1,0,0.666666667,-1,
135,2,0,0,0,0,0,1,1,135,0,1.333333333,0,0,0.333333333,0,0.666666667,-1,135,0,0,2,0,0,0,1,-1,135,0,0,0,1,0,0,1,0,135,0,0,0,0,0,1,0,-1,135,0,1,0,0,1.333333333,0.666666667,1,-1,
136,,,,,,,,,136,,,,,,,,,136,,,,,,,,,136,,,,,,,,,136,,,,,,,,,136,,,,,,,,,
137,,,,,,,,,137,,,,,,,,,137,,,,,,,,,137,,,,,,,,,137,,,,,,,,,137,,,,,,,,,
139,2,0,0,0,0,0,1,1,139,0,1.666666667,0,0,0,0,0.666666667,-1,139,0,0,2,0,0,0,1,-1,139,0,0,0,1,0,0,1,0,139,0,0,0,0,0,1.666666667,-0.666666667,-1,139,0,0.333333333,0,0,1.333333333,0,1,-1,
140,2,0,0,0,0,0,1,1,140,0,2,0,0,0,0,1,-1,140,,,,,,,,,140,0,0,0,1.666666667,0,0,1,0,140,0,0,0,0,0,2,0.666666667,-1,140,0,1,0,0,0.666666667,0,1,-1,
143,2,0,0,0,0,0,1,1,143,0,2,0,0,0,0,1,-1,143,0,0,2,0,0,0,1,-1,143,0,1.333333333,0,0.666666667,0,0,1,-0.666666667,143,0,0,0,0,0,1.666666667,0,-1,143,0,0.333333333,0,0,2,0,1,-1,
144,2,0,0,0,0,0,1,1,144,0,1,0.666666667,0.333333333,0,0,1,-0.666666667,144,0,0,1.666666667,0,0,0,1,-0.666666667,144,0,0.666666667,0,0.666666667,0,0,1,0,144,0,0,0,0,0,1.666666667,0,-1,144,0,1,0.666666667,0,0.333333333,0,1,-1,
146,2,0,0,0,0,0,1,1,146,0,2,0,0,0.333333333,0,1,-1,146,,,,,,,,,146,,,,,,,,,146,0,0,0,0,0,2,0,-1,146,0,0.333333333,0,0,1,0,1,-1,
149,2,0,0,0,0,0,1,1,149,0,1.666666667,0,0.666666667,0,0,1,-0.666666667,149,0,0,2,0.333333333,0,0,1,-0.666666667,149,0.666666667,0,0,2,0,0,1,1,149,0,0,0,0,0,0.333333333,0,0,149,0,0,0,0,1,0,0.666666667,-1,
150,2,0,0,0,0,0,1,1,150,0,1.666666667,0,0,0,0,1,-1,150,0,0,0.666666667,0,0,0,0.666666667,-0.333333333,150,0,0,0,1.333333333,0,0,1,0,150,0,0,0,0,0,0.333333333,0,-0.333333333,150,0,0,0,0,0,0,0,0,
151,2,0,0,0,0,0,1,1,151,0,1.666666667,0,0,0,0,0.666666667,-1,151,0,0,1,0,0,0,1,-0.666666667,151,0,0,0,1.666666667,0,0,0.666666667,0,151,0,0,0,0,0,2,-0.333333333,-1,151,0,0,0,0,1,0,0.666666667,-1,
153,1.666666667,0,0,0,0,0,0.666666667,1,153,0,0,0,0,0,0,0,0,153,0,0,1,0,0,0,1,-0.666666667,153,0,0,1.666666667,0.333333333,0,0,1,-0.666666667,153,0,0,0,0,0.666666667,1.333333333,0.666666667,-1,153,0,0,0,1,0,0,1,0,
154,2,0,0,0,0,0,1,1,154,0,2,0,0,0,0,1,-1,154,0,0,2,0,0,0,1,-0.666666667,154,0,0,0.333333333,1.333333333,0,0,1,0,154,0,0,0,0,0,2,0,-1,154,0,0.333333333,0,0,1,0,0.666666667,-1,
156,,,,,,,,,156,,,,,,,,,156,,,,,,,,,156,,,,,,,,,156,,,,,,,,,156,,,,,,,,,
158,,,,,,,,,158,,,,,,,,,158,,,,,,,,,158,,,,,,,,,158,,,,,,,,,158,,,,,,,,,
160,2,0,0,0,0,0,1,1,160,0,2,0,0,0,0,1,-1,160,0,0,2,0,0,0,1,-0.666666667,160,0,0,0,1.666666667,0,0,1,0,160,0,0,0,0,0,1.666666667,-0.666666667,-1,160,0,0,0,0,2,0,1,-1,
161,2,0,0,0,0,0,1,1,161,0,2,0,0,0,0,1,-1,161,0,0,2,0,0,0,1,-1,161,0,0,0,1.666666667,0,0,1,0,161,0,0,0,0,0,2,-0.333333333,-1,161,0,0,0,0,2,1,1,-1,
162,2,0,0,0,0,0,1,1,162,0,1.333333333,0,0,0,0,0,-1,162,0,0,2,0,0,0,1,-1,162,0,0,0,0.333333333,0,0,0,0,162,0,0,0,0,0,1.666666667,-0.666666667,-1,162,0,0,0,0,1,0,0,-1,
165,,,,,,,,,165,,,,,,,,,165,,,,,,,,,165,,,,,,,,,165,,,,,,,,,165,,,,,,,,,
166,,,,,,,,,166,,,,,,,,,166,,,,,,,,,166,,,,,,,,,166,,,,,,,,,166,,,,,,,,,
167,2,0,0,0,0,0,1,1,167,0,2,0,0,0,0,1,-1,167,0,0,1.666666667,0,0,0,1,-0.666666667,167,1,0,0,1,0,0,0.666666667,1,167,0,0,0,0,0,1.666666667,-0.666666667,-1,167,0,0,0,0,0.333333333,0,0,-0.333333333,
168,2,0,0,0,0,0,1,1,168,0,1.666666667,0,0,0,0,1,-1,168,0,0,2,0,0,0,1,-0.666666667,168,0.666666667,0,0,1.333333333,0,0,1,0.666666667,168,0,0,0,0,0,0.333333333,0,-0.333333333,168,0,0,0,0,1.666666667,0,0.666666667,-1,
171,2,0,0,0,0,0,1,1,171,0,2,0,0,0,0,1,-1,171,0,0.666666667,0.666666667,0.333333333,0,0,1,-0.666666667,171,0,0,0,0.333333333,0,0,0,0,171,0,0,0,0,0,1.666666667,-0.666666667,-1,171,0,1.666666667,0,0,0.333333333,0,0.666666667,-1,
173,2,0,0,0,0,0,1,1,173,0,2,0,0,0,0,1,-1,173,0,0,2,0,0,0,1,-0.666666667,173,0,0,0,0.333333333,0,0,0,0.666666667,173,0,0,0,0,0,0.333333333,0,-1,173,0,0.333333333,0,0,1.333333333,0,1,-1,
174,2,0,0,0,0,0,1,1,174,0,2,0,0,0,0,1,-1,174,0,0,2,0,0,0,1,-0.666666667,174,0,0,0,1.333333333,0,0,1,0,174,0,0,0,0,0,1,-0.666666667,-1,174,0,0,0,0,1.666666667,0,0.666666667,-1,
175,2,0,0,0,0,0,1,1,175,0,1.333333333,0,0,0,0,0.333333333,-1,175,0,0,1.666666667,0,0,0,1,-0.666666667,175,1,0,0,1.666666667,0,0,0.666666667,1,175,0,0,0,0,0,1.666666667,-0.666666667,-1,175,0,0.333333333,0,0,0.333333333,0,-0.333333333,-1,
177,1.666666667,0,0,0,0,0,1,1,177,0,2,0,0,0,0,1,-1,177,0,0.333333333,0.666666667,0,0,0,0.666666667,-0.666666667,177,0,0,0,1.666666667,0,0,1,0,177,0,0,0,0,0,2,-0.666666667,-1,177,0,0,0,0,2,0,1,-1,
178,2,0,0,0,0,0,1,1,178,0,2,0,0,0,0,1,-1,178,0,0,2,0,0,0,1,-1,178,0,0.666666667,0,0.666666667,0,0.666666667,0.333333333,-0.666666667,178,0,0,0,0,0,2,-0.666666667,-1,178,0,0.333333333,0,0,2,0,1,-1,
179,2,0,0,0,0,0,1,1,179,0,2,0,0,0.333333333,0,0.666666667,-1,179,0,0,2,0,0,0,1,-0.666666667,179,0,0,0,2,0,0,1,0,179,0,0,0,0,0,1.666666667,-0.666666667,-1,179,0,0,0,0,2,0,1,-1,
180,2,0,0,0,0,0,1,1,180,0,1.666666667,0,0,0,0,0.666666667,-1,180,0,0,0,0,0,1,-0.666666667,-1,180,0,0,0,0,0,0,0,0,180,0,0,0,0,0,1.666666667,-0.666666667,-1,180,0,0,0,0,2,0,1,-1,
182,1.666666667,0,0,0,0,0,0.666666667,1,182,0,0.333333333,0,0.333333333,0,0,0.333333333,0,182,0,0,2,0,0,0,1,-0.666666667,182,0,0,0,0.333333333,0,0,0,0,182,0,0,0,0,0,2,-0.666666667,-1,182,0,0,0,0,2,0,1,-1,
183,2,0,0,0,0,0,1,1,183,,,,,,,,,183,0,0,2,0,0,0,1,-0.666666667,183,0.333333333,0.666666667,0,1,0,0,1,0,183,0,0,0,0,0,0,0,0,183,0,0.333333333,0,0,0.333333333,0,0,0,
185,2,0,0,0,0,0,1,1,185,0,2,0,0,0,0,1,-1,185,0,0,2,0,0,0,1,-1,185,0,1.333333333,0.333333333,0.666666667,0,0,1,-0.666666667,185,0,0,0,0,0,1.666666667,-0.666666667,-1,185,0,0.333333333,0,0,2,0,1,-1,
186,2,0,0,0,0,0,1,1,186,0,2,0,0,0,0,1,-1,186,0,0,2,0,0,0,1,-1,186,0,0,0,2,0,0,1,0,186,0,0,0,0,0,0.333333333,0,-0.333333333,186,0,0,0,0,2,0,1,-1,
187,2,0,0,0,0,0,1,1,187,0,2,0,0,0,0,1,-1,187,0,0,2,0,0,0,1,-1,187,1,0,0,2,0,0,1,1,187,0,0,0,0,0,1.333333333,-0.666666667,-1,187,0,0.333333333,0,0,2,0,1,-1,
190,2,0,0,0,0,0,1,1,190,0,2,0,0,0.333333333,0,1,-1,190,0,0,2,0,0,0,1,-0.666666667,190,0,0,0,2,0,0,1,0,190,0,0,0,0,0,1,-0.666666667,-1,190,0,0.333333333,0,0,1.333333333,0,1,-1,
191,2,0,0,0,0,0,1,1,191,0,2,0,0,0,0,1,-1,191,0,0,2,0,0,0,1,-0.666666667,191,0,0,0,2,0,0,1,0,191,0,0,0,0,0,1,-0.666666667,-1,191,0,0.333333333,0,0,2,0,1,-1,
192,2,0,0,0,0,0,1,1,192,0,2,0,0,0.333333333,0,1,-1,192,,,,,,,,,192,0,0,0,1.666666667,0,0,1,-0.666666667,192,0,0,0,0,0.333333333,1.666666667,1,-1,192,0,0,0,0,1.333333333,0,0.333333333,-0.333333333,
194,2,0,0,0,0,0,1,1,194,0,2,0,0,0,0,1,-1,194,0,0,2,0,0,0,1,-1,194,0,0,0,1,0,0,1,0,194,0,0,0,0,0,0,0,0,194,0,1,0,0,0.666666667,0,1,-1,
196,2,0,0,0,0,0,1,1,196,0,0,0,0,0,0,0,0,196,0,0,2,0,0,0,1,-0.666666667,196,0,0,0,1.333333333,0,0,1,0,196,0,0,0,0,0,1,-0.666666667,-0.333333333,196,0,0.333333333,0,0,1.666666667,0,1,-0.333333333,
197,2,0,0,0,0,0,1,1,197,0,2,0,0,0,0,1,-1,197,0,0,2,0,0,0,1,-1,197,0,0,0,0.666666667,0,0,0.333333333,0,197,0,0,0,0,0,2,0,-1,197,0,1,0,0,1.333333333,0,1,-1,
198,2,0,0,0,0,0,1,1,198,0,2,0,0,0.333333333,0,1,-1,198,0,0.333333333,2,0,0,0,1,-1,198,0,0,0,0,0,0,0,0,198,0,0,0,0,0,1.333333333,-0.666666667,-1,198,0,1,0.666666667,0,1.333333333,0,1,-1,
200,2,0,0,0,0,0,1,1,200,0,2,0,0,0,0,1,-1,200,0,0,0,0,0,0.333333333,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.666666667,-0.666666667,-1,200,0,0.333333333,0,0,1.333333333,0,-0.333333333,-1,
201,2,0,0,0,0,0,1,1,201,0,2,0,0,0,0,1,-1,201,0,0,2,0,0,0,1,-1,201,1.666666667,0,0,0.666666667,0,0,1,1,201,0,0,0,0,0,0.333333333,0,-1,201,0,0,0,0,1.666666667,0,0.666666667,-1,
203,2,0,0,0,0,0,1,1,203,0,2,0,0,0,0,1,-1,203,0,0,2,0,0,0,1,-0.666666667,203,0.333333333,0,0,0,0,0,0.333333333,0,203,0,0,0,0,0,2,-0.666666667,-1,203,0,0,0,0,1,0,1,-1,
205,1.666666667,0,0,0,0,0,1,1,205,0,2,0,0,0,0,1,-1,205,0,0,2,0,0,0,1,-0.666666667,205,0,0,0,0.333333333,0,0,0.333333333,0,205,0,0,0,0,0,1.333333333,0,-0.333333333,205,0,0.333333333,0,0,2,0,1,-1,
209,2,0,0,0,0,0,1,1,209,0,2,0,0,0.333333333,0,1,-1,209,0,0,2,0,0,0,1,-0.666666667,209,0,0,0,0.333333333,0,0,0.333333333,0,209,0,0,0,0,0,0.333333333,0,-0.333333333,209,0,0.333333333,0,0,1.666666667,0,0.333333333,-1,
210,2,0,0,0,0,0,1,1,210,0,2,0,0,0,0,1,-1,210,0,0,2,0,0,0,1,-0.666666667,210,0,0,0,0.333333333,0,0,0.333333333,0,210,0,0,0,0,0,1.333333333,-0.666666667,-1,210,0,0.333333333,0,0,2,0,1,-1,
